original_path,archive_path,category,experiment_id,model,reason,date_archived
"outputs/evaluation/qwen/qwen_A5_20260711_1508","archive/superseded_runs/outputs/evaluation/qwen/qwen_A5_20260711_1508","superseded_runs","qwen_A5_20260711_1508","qwen","Duplicate A1-A4 evaluations identical to 20260708_0020; empty A5 eval","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260711_1508.out","archive/superseded_runs/logs/slurm/qwen_ablation_20260711_1508.out","superseded_runs","qwen_A5_20260711_1508","qwen","Slurm log TIME LIMIT on incomplete A5 re-run","2026-09-09T02:01:06Z"
"logs/slurm/qwen_ablation_20260711_1508.err","archive/superseded_runs/logs/slurm/qwen_ablation_20260711_1508.err","superseded_runs","qwen_A5_20260711_1508","qwen","Slurm err TIME LIMIT","2026-09-09T02:01:06Z"
"outputs/verification_ablation_results","archive/superseded_runs/outputs/verification_ablation_results","superseded_runs","legacy_ablation_100","qwen","Legacy 100-sample flat ablation results superseded by model-scoped experiment dirs","2026-09-09T02:01:06Z"
"outputs/verification_results","archive/superseded_runs/outputs/verification_results","superseded_runs","legacy_verification_results","unknown","Legacy single-sample verification_results fixture","2026-09-09T02:01:06Z"
"outputs/evaluation/A1_evaluation.csv","archive/superseded_runs/outputs/evaluation/A1_evaluation.csv","superseded_runs","legacy_flat_eval","unknown","Stale flat evaluation CSV (2026-07-05) superseded by model-scoped eval dirs","2026-09-09T02:01:06Z"
"outputs/evaluation/A2_evaluation.csv","archive/superseded_runs/outputs/evaluation/A2_evaluation.csv","superseded_runs","legacy_flat_eval","unknown","Stale flat evaluation CSV superseded","2026-09-09T02:01:06Z"
"outputs/evaluation/A3_evaluation.csv","archive/superseded_runs/outputs/evaluation/A3_evaluation.csv","superseded_runs","legacy_flat_eval","unknown","Stale flat evaluation CSV superseded","2026-09-09T02:01:06Z"
"outputs/evaluation/A4_evaluation.csv","archive/superseded_runs/outputs/evaluation/A4_evaluation.csv","superseded_runs","legacy_flat_eval","unknown","Stale flat evaluation CSV superseded","2026-09-09T02:01:06Z"
"outputs/evaluation/A5_evaluation.csv","archive/superseded_runs/outputs/evaluation/A5_evaluation.csv","superseded_runs","legacy_flat_eval","unknown","Stale flat evaluation CSV superseded","2026-09-09T02:01:06Z"
"outputs/evaluation/summary.csv","archive/superseded_runs/outputs/evaluation/summary.csv","superseded_runs","legacy_flat_eval","unknown","Stale flat evaluation summary superseded","2026-09-09T02:01:06Z"
"outputs/ablation_inputs_100","archive/superseded_runs/outputs/ablation_inputs_100","superseded_runs","old_ablation_inputs_100","unknown","Pre-verification_ablation_* E1-E5 style inputs; superseded","2026-09-09T02:01:06Z"
"outputs/lvm_inputs","archive/superseded_runs/outputs/lvm_inputs","superseded_runs","old_lvm_inputs","unknown","Prototype LVM inputs superseded by verification_dataset","2026-09-09T02:01:06Z"
"outputs/lvm_inputs_100_sequential","archive/superseded_runs/outputs/lvm_inputs_100_sequential","superseded_runs","old_lvm_inputs_100","unknown","Sequential 100 prototype inputs superseded","2026-09-09T02:01:06Z"
"outputs/lvm_inputs_metadata.csv","archive/superseded_runs/outputs/lvm_inputs_metadata.csv","superseded_runs","old_lvm_inputs","unknown","Prototype metadata CSV superseded","2026-09-09T02:01:06Z"
"outputs/lvm_inputs_metadata_100_sequential.csv","archive/superseded_runs/outputs/lvm_inputs_metadata_100_sequential.csv","superseded_runs","old_lvm_inputs_100","unknown","Prototype metadata CSV superseded","2026-09-09T02:01:06Z"
"outputs/verification/llava/smoke_framework","archive/smoke_tests/outputs/verification/llava/smoke_framework","smoke_tests","smoke_framework","llava","Framework smoke 5-sample; not a scientific experiment","2026-09-09T02:01:31Z"
"outputs/verification/gemma/smoke_framework","archive/smoke_tests/outputs/verification/gemma/smoke_framework","smoke_tests","smoke_framework","gemma","Framework smoke 5-sample; not a scientific experiment","2026-09-09T02:01:31Z"
"logs/slurm/llava_framework_smoke_8140562.out","archive/smoke_tests/logs/slurm/llava_framework_smoke_8140562.out","smoke_tests","smoke_framework","llava","Framework smoke Slurm log","2026-09-09T02:01:31Z"
"logs/slurm/llava_smoke_8117785.out","archive/smoke_tests/logs/slurm/llava_smoke_8117785.out","smoke_tests","llava_smoke","llava","Model smoke Slurm log","2026-09-09T02:01:31Z"
"logs/slurm/gemma_framework_smoke_8167788.out","archive/smoke_tests/logs/slurm/gemma_framework_smoke_8167788.out","smoke_tests","smoke_framework","gemma","Framework smoke Slurm log","2026-09-09T02:01:31Z"
"logs/slurm/gemma_smoke_8167783.out","archive/smoke_tests/logs/slurm/gemma_smoke_8167783.out","smoke_tests","gemma_smoke","gemma","Model smoke Slurm log","2026-09-09T02:01:31Z"
"outputs/debug","archive/debug_runs/outputs/debug","debug_runs","llava_grounding","llava","Debug/diagnostic outputs for LLaVA grounding investigation","2026-09-09T02:01:31Z"
"outputs/test_A1","archive/debug_runs/outputs/test_A1","debug_runs","test_fixture","unknown","1-sample test fixture","2026-09-09T02:01:31Z"
"outputs/test_A2","archive/debug_runs/outputs/test_A2","debug_runs","test_fixture","unknown","1-sample test fixture","2026-09-09T02:01:31Z"
"outputs/test_A3","archive/debug_runs/outputs/test_A3","debug_runs","test_fixture","unknown","1-sample test fixture","2026-09-09T02:01:31Z"
"outputs/test_A4","archive/debug_runs/outputs/test_A4","debug_runs","test_fixture","unknown","1-sample test fixture","2026-09-09T02:01:31Z"
"logs/slurm/llava_grounding_gpu_test_8157204.out","archive/debug_runs/logs/slurm/llava_grounding_gpu_test_8157204.out","debug_runs","llava_grounding","llava","Grounding GPU diagnostic log","2026-09-09T02:01:31Z"
"logs/slurm/llava_parity_8167652.out","archive/debug_runs/logs/slurm/llava_parity_8167652.out","debug_runs","llava_parity","llava","Parity test failed (missing pytest)","2026-09-09T02:01:31Z"
"logs/slurm/llava_parity_8167670.out","archive/debug_runs/logs/slurm/llava_parity_8167670.out","debug_runs","llava_parity","llava","Parity test engineering log (PASS but not an experiment)","2026-09-09T02:01:31Z"
"logs/qwen_verif_ablation_8100939.out","archive/debug_runs/logs/qwen_verif_ablation_8100939.out","debug_runs","early_qwen_8100939","qwen","Pre-canonical ablation log","2026-09-09T02:01:31Z"
"logs/qwen_verif_ablation_8100939.err","archive/debug_runs/logs/qwen_verif_ablation_8100939.err","debug_runs","early_qwen_8100939","qwen","Pre-canonical ablation err","2026-09-09T02:01:31Z"
"demo/backend/=0.115.0","archive/miscellaneous_runtime_artifacts/demo/backend/=0.115.0","miscellaneous_runtime_artifacts","pip_artifact","unknown","Accidental pip redirect artifact (empty file)","2026-09-09T02:01:31Z"
"demo/backend/=0.32.0","archive/miscellaneous_runtime_artifacts/demo/backend/=0.32.0","miscellaneous_runtime_artifacts","pip_artifact","unknown","Accidental pip redirect artifact (empty file)","2026-09-09T02:01:31Z"
"demo/backend/=2.10.0","archive/miscellaneous_runtime_artifacts/demo/backend/=2.10.0","miscellaneous_runtime_artifacts","pip_artifact","unknown","Accidental pip redirect artifact (empty file)","2026-09-09T02:01:31Z"
"demo/backend/=2.6.0","archive/miscellaneous_runtime_artifacts/demo/backend/=2.6.0","miscellaneous_runtime_artifacts","pip_artifact","unknown","Accidental pip redirect artifact (empty file)","2026-09-09T02:01:31Z"
"outputs/verification/qwen/20260708_0020/A5 (left in place)","archive/incomplete_experiments/README_QWEN_A5.md","incomplete_experiments","20260708_0020","qwen","Documented incomplete A5; artifacts left in canonical tree for resume","2026-09-09T02:01:31Z"
"outputs/verification/{llava,gemma} A1-1000 (left in place)","archive/invalid_experiments/README_COLLAPSED_MODELS.md","invalid_experiments","A1-1000","llava/gemma","Documented degenerate all-Reliable behavior; raw outputs retained for evidence","2026-09-09T02:01:31Z"
